,label_fraction,accuracy
0,0.5,0.9503355704697987
1,0.5,0.9436241610738255
2,0.5,0.9463087248322147
3,0.5,0.938255033557047
4,0.5,0.9302013422818792
5,0.5,0.9409395973154362
6,0.5,0.9395973154362416
7,0.5,0.9315436241610738
8,0.5,0.9489932885906041
9,0.5,0.9476510067114094
10,0.2,0.9320469798657718
11,0.2,0.9312080536912751
12,0.2,0.9303691275167785
13,0.2,0.9328859060402684
14,0.2,0.9354026845637584
15,0.2,0.927013422818792
16,0.2,0.9135906040268457
17,0.2,0.927013422818792
18,0.2,0.9286912751677853
19,0.2,0.9370805369127517
20,0.1,0.8866517524235645
21,0.1,0.866517524235645
22,0.1,0.9149888143176734
23,0.1,0.8463832960477256
24,0.1,0.9142431021625652
25,0.1,0.8090976882923192
26,0.1,0.9045488441461595
27,0.1,0.8985831469052945
28,0.1,0.8381804623415362
29,0.1,0.7747949291573453
30,0.05,0.7436440677966102
31,0.05,0.8100282485875706
32,0.05,0.7909604519774012
33,0.05,0.818502824858757
34,0.05,0.6137005649717514
35,0.05,0.6765536723163842
36,0.05,0.759180790960452
37,0.05,0.66454802259887
38,0.05,0.6970338983050848
39,0.05,0.8375706214689266
